	Thể loại	Phần trăm	Max mỗi tháng
Cake Freedom	Online Tiki, Shopee - 5262	20	200,000 ₫
	Du lịch - voucher traveloka	20	200,000 ₫
	Thời trang - 5611- ít chỗ hoàn, check mcc4u	20	200,000 ₫
	Chọn 2: Siêu thị, ăn uống, di chuyển, CHTL, bảo hiểm, Khách sạn, ví điện tử, hàng không, rạp chiếu phim	20	200,000 ₫
		20	200,000 ₫
VIB Super Card	POS nước ngoài	15	1,000,000 ₫
	Du lịch	10	
	Mua sắm	10	
	Ăn uống	10	
	Online - không áp dụng MCC 6300 và 7399	5	
VIB Online Plus 2in1	Online nước ngoài	5	600,000 ₫
	Online trong nước	3	
	Khác	0.1	
VIB Family Link	Giáo dục, Bảo Hiểm, Y Tế	5	1,000,000 ₫
	Giáo dục, Bảo Hiểm, Y Tế	8	
	Giáo dục, Bảo Hiểm, Y Tế	10	
	Khác	0.1	
VIB Travel Élite	POS tại nước ngoài	1 / 20000đ	k giới hạn
"VIB Cashback
"	Khác	0.1	k giới hạn
	Ăn uống	5-10	800-2tr
	Giải trí		
	Ads		
"VIB Rewards Unlimited
"	POS Trung tâm mua sắm và Cửa hàng miễn thuế	1	k giới hạn
	POS Siêu thị	0.5	
	Khác	0.1	
Eximbank Priority Signature	POS nước ngoài	10	1,000,000 ₫
	Ăn uống	5	
	Du lịch, khách sạn	3	
Eximbank One World	POS nước ngoài	10	1,000,000 ₫
	Ăn uống	5	
	Du lịch, khách sạn	3	
Eximbank Ultimate	Nhật Bản	10	1,000,000 ₫
	Khác	0.3	
Eximbank Cash Back	Bảo hiểm	3	1,000,000 ₫
	Y tế, Giáo dục	8	
	Di chuyển, Ăn uống	5	
	Khác	0.3	
Eximbank Violet	Online	5	300,000 ₫
VPBank Lady MasterCard	Bảo hiểm trực tuyến	15	300,000 ₫
	Giáo dục	15	200,000 ₫
	Chăm sóc sắc đẹp/ Y tế/ Thời trang	15	300,000 ₫
	Siêu thị	5	200,000 ₫
	Bảo hiểm trực tuyến	7.5	150,000 ₫
